53,34
67,2
68,1
80,3398
137,15
138,2
139,12
161,8
443,1476
445,16
1095,14
1863,67
1900,42
2151,1
2498,2
2526,66
2527,18
2528,126
2529,96
2532,4
2535,4
2536,34
2537,26
2538,4
2539,6
2540,8
2542,24
2543,10
2544,32
2545,16
2546,6
2547,24
2548,104
2549,10
2550,36
2551,22
2552,24
2553,22
2554,20
3192,1
3290,2
4300,1
4813,1
5351,10
5355,4
5443,49
5480,205
6192,2
6536,1
7001,14
7457,1
7704,2
7892,1
8395,2
8443,390
8984,1
9009,1
9113,1
9911,1
10616,5
10617,5
10618,5
10619,5
10620,5
10622,86
10627,10
10630,5
10635,7
10636,27
10637,11
10638,354
10639,28
10640,18
10641,13
10642,13
10643,9
10646,70
10647,58
10648,9
10649,16
10650,27
10651,21
10652,24
10653,26
10654,27
10655,19
10658,7
10659,8
10661,6
10662,1
10664,6
10665,6
10667,36
10668,6
10669,5
10670,6
10671,7
10682,7
10683,7
10684,8
10687,8
10688,11
10689,7
10690,8
10691,6
10696,7
10697,7
10714,5
10848,1
11610,1
12350,9
13208,2
13392,3
13899,1
14168,1
14487,1
16763,1
17500,16
17865,1
18165,2
21319,2
21363,1
21368,2
21827,1
22511,2
23389,1
23537,1
23852,1
23924,2
24506,1
24884,2
25987,6
28376,1
29044,1
29080,1
29347,2
29464,3
30425,1
30757,1
31727,3
31783,2
32178,1
32291,1
32575,2
32683,2
33033,5
33453,2
33695,2
34467,2
35777,9
35877,1
37499,1
38685,1
38843,1
38922,1
39109,1
39466,1
42304,2
42341,3
42403,1
42843,3
43187,1
43217,1
43400,5
43699,5
43708,2
44386,3
44808,1
45156,1
45834,1
48240,1
48570,4
49166,6
49206,4
49673,88
49796,2
50023,9
50289,2
50559,2
50583,1
50709,1
50983,134
51491,2
52091,1
52152,216
52201,5
52202,86
52203,5
52204,5
52205,5
52206,5
52207,5
52208,5
52209,5
52210,5
52211,5
52212,5
52213,5
52214,5
52215,5
52248,5
52257,5
52266,5
52399,14
52400,8
52402,23
52497,9
52634,1
52967,2
53679,1
53755,1
54002,1
54049,1
54657,2
54795,2
54900,12
55950,4
55953,2
55954,19
55955,3
55956,5
55957,16
55958,9
55959,15
55960,11
55961,3
55962,10
55963,13
55966,4
55967,6
55968,11
55971,3
55972,4
55973,26
56012,30
56021,9
56022,131
56023,3
56026,8
56027,8
56028,7
56029,9
56030,4
56031,4
56032,4
56033,4
56034,26
56035,6
56036,36
56037,32
56038,15
56039,18
56040,16
56041,21
56042,3
56044,17
56048,40
56049,4
56050,2
56051,32
56052,4
56053,7
56054,5
56055,15
56056,10
56057,10
56058,163
56059,12
56060,10
56061,8
56064,115
56065,123
56066,19
56067,50
56068,25
56069,22
56070,28
56073,29
56090,8
56091,9
56092,8
56093,23
56110,28
56111,7
56112,8
56113,8
56126,11
56127,5
56128,7
56129,4
56132,29
56133,32
56134,6
56135,4
56136,4
56138,1
56139,91
56140,126
56141,7
56160,5
56161,8
56163,3
56165,33
56166,17
56167,4
56168,35
56169,4
56174,123
56175,7
56194,5
56213,5
56214,5
56233,28
56234,8
56235,7
56236,8
56255,8
56256,7
56257,8
56259,5
56292,5
56313,5
56314,5
56317,8
56318,4
56319,14
56320,31
56323,4
56324,3
56325,4
56326,10
56327,5
56328,5
56331,123
56332,7
56351,5
56356,8
56357,4
56358,4
56359,9
56360,6
56361,4
56362,4
56363,9
56368,124
56369,7
56386,5
56401,5
56406,10
56407,5
56408,5
56411,42
56414,40
56415,49
56416,48
56417,41
56418,34
56419,21
56420,3
56421,4
56422,4
56423,25
56424,24
56427,90
56428,30
56429,28
56430,2
56433,30
56434,136
56435,44
56436,38
56438,20
56454,8
56455,7
56456,8
56457,32
56476,28
56477,7
56478,7
56479,8
56494,3
56495,4
56497,27
56499,4
56500,31
56501,10
56502,12
56503,12
56504,9
56505,9
56506,4
56509,90
56510,29
56511,135
57011,5
57024,2
57032,2
57038,1
57058,2
57071,2
57121,2
57145,2
57147,2
57149,2
57150,2
57173,2
57174,2
57176,2
57180,2
57186,2
57191,2
57192,4
57198,4
57201,2
57202,2
57203,2
57204,2
57205,2
57213,2
57229,4
57230,2
57231,12
57233,4
57242,4
57243,296
57244,242
57245,146
57246,118
57247,88
57248,118
57249,24
57250,10
57524,2
57632,2
57721,4
57838,2
57839,26
57847,2
57878,2
57879,2
57880,2
57881,2
57882,2
57883,2
57884,2
57885,2
57886,2
57887,2
57888,2
57889,2
57890,2
57891,2
57892,2
57893,2
57894,2
57895,2
57896,2
57897,2
57898,2
57899,2
57900,2
57901,2
57902,2
57949,1
58164,1
58264,4
58265,8
58272,8
58303,4
58304,8
58305,5
58310,9
58327,8
58350,5
58351,10
58352,8
58353,10
58360,5
58361,10
58362,1
58377,9
58378,9
58381,5
58388,7
58389,8
58410,5
58411,5
58416,5
58417,11
58434,6
58439,5
58440,5
58443,5
58464,10
58485,5
58486,10
58487,5
58490,10
58511,2
58517,7
58542,5
58543,11
58544,11
58547,4
58608,5
58609,12
58666,5
58667,6
58668,10
58673,2
58737,6
58750,5
58757,6
58766,6
58769,5
58770,12
58777,7
58786,6
58787,9
58788,5
58789,144
58790,140
58793,9
58794,9
58795,5
58830,5
58831,4
58971,2
59365,2
59468,2
59686,2
59794,2
60573,2
60629,2
60875,1
61133,2
61863,67
61870,2
62310,2
62599,1
62669,1
64228,1
64588,1
64982,2
